ANNOSCOLASTICO;AREAGEOGRAFICA;CAPSCUOLA;CODICECOMUNESCUOLA;CODICEISTITUTORIFERIMENTO;CODICESCUOLA;DENOMINAZIONEISTITUTORIFERIMENTO;DENOMINAZIONESCUOLA;DESCRIZIONECARATTERISTICASCUOLA;DESCRIZIONECOMUNE;DESCRIZIONETIPOLOGIAGRADOISTRUZIONESCUOLA;INDICAZIONESEDEDIRETTIVO;INDICAZIONESEDEOMNICOMPRENSIVO;INDIRIZZOEMAILSCUOLA;INDIRIZZOPECSCUOLA;INDIRIZZOSCUOLA;PROVINCIA;REGIONE;SITOWEBSCUOLA;LONGITUDINE;LATITUDINE
201516;NORD EST;31015;C957;TVIC867006;TVEE867029;IC CONEGLIANO 2 GB CIMA;G. MAZZINI;Non Disponibile;CONEGLIANO;SCUOLA PRIMARIA;NO;Non Disponibile;TVIC867006@istruzione.it;Non Disponibile;VIA T. VECELLIO 13/15;TREVISO;VENETO;www.icconegliano2cima.gov.it; 1.2302163E7;4,59E+07
201516;NORD OVEST;15023;D528;ALIC81800Q;ALEE81801T;FELIZZANO G. PASCOLI;G. PASCOLI FELIZZANO;Non Disponibile;FELIZZANO;SCUOLA PRIMARIA;NO;Non Disponibile;ALIC81800Q@istruzione.it;Non Disponibile;VIA VITTORIO VENETO 50;ALESSANDRIA;PIEMONTE;www.icpascoli-felizzano.gov.it ?; 8441253.9;4,49E+15
201516;NORD EST;37055;H540;VRIC816001;VRIC816001;IC RONCO ALL'ADIGE;IC RONCO ALL'ADIGE;Non Disponibile;RONCO ALL'ADIGE;ISTITUTO COMPRENSIVO;SI;Non Disponibile;VRIC816001@istruzione.it;vric816001@pec.istruzione.it;VIALE      VITTORIO VENETO     19;VERONA;VENETO;Non Disponibile; 1.125953E7;4,53E+13
201516;NORD EST;37020;D420;VRIC815005;VRMM815027;IC GREZZANA;ERBEZZO;Non Disponibile;ERBEZZO;SCUOLA PRIMO GRADO;NO;Non Disponibile;VRIC815005@istruzione.it;Non Disponibile;VIA  SPROK, 38;VERONA;VENETO;www.grezzanascuole.gov.it; -8.946703789999999E7;4,30E+23
201516;NORD EST;35030;H625;PDIC85100E;PDEE85103P;IST. COMPR. RUBANO - BUONARROTI;RUBANO-VILLAGUATTERA-AGAZZI;Non Disponibile;RUBANO;SCUOLA PRIMARIA;NO;Non Disponibile;PDIC85100E@istruzione.it;Non Disponibile;VIA BOSCHETTA, 2;PADOVA;VENETO;www.icrubano.it; 1.1815007E7;4,54E+22
201516;NORD EST;30024;F826;VEIC82600X;VEEE826034;ENRICO TOTI;EDMONDO DE AMICIS;Non Disponibile;MUSILE DI PIAVE;SCUOLA PRIMARIA;NO;Non Disponibile;VEIC82600X@istruzione.it;Non Disponibile;PIAZZA 18 GIUGNO 2;VENEZIA;VENETO;www.ictoti.gov.it; 1.2563099999999998E7;4,56E+13
201516;NORD EST;30035;F241;VEIC85600Q;VEEE85603X;I.C. GIOVANNI GABRIELI;ALESSANDRO MANZONI-BALLO';Non Disponibile;MIRANO;SCUOLA PRIMARIA;NO;Non Disponibile;VEIC85600Q@istruzione.it;Non Disponibile;VIA E. TOTI, 1;VENEZIA;VENETO;www.icgabrielimirano.gov.it; 1.20716927E7;4,55E+15
201516;NORD EST;35020;F011;PDIC85600N;PDEE85602R;IST.COMPR. MASERA' - PERLASCA;CA' MURA' - BERTIPAGLIA;Non Disponibile;MASERA' DI PADOVA;SCUOLA PRIMARIA;NO;Non Disponibile;PDIC85600N@istruzione.it;Non Disponibile;VIA CA' MURA';PADOVA;VENETO;icsmasera.it; 1.18839934E7;4,53E+14
201516;NORD EST;31020;I382;TVIC847001;TVEE847013;IC SAN VENDEMIANO;S. FRANCESCO;Non Disponibile;SAN VENDEMIANO;SCUOLA PRIMARIA;NO;Non Disponibile;TVIC847001@istruzione.it;Non Disponibile;VIALE A. DE GASPERI;TREVISO;VENETO;www.icsanvendemiano.gov.it; 1.2272358400000002E7;4,59E+15
201516;NORD EST;37060;F789;VRIC895002;VREE895025;IC MOZZECANE;MOZZECANE;Non Disponibile;MOZZECANE;SCUOLA PRIMARIA;NO;Non Disponibile;VRIC895002@istruzione.it;Non Disponibile;VIA G. FERRONI;VERONA;VENETO;www.icmozzecane.gov.it; 1.08166996E7;4,53E+15
201516;NORD EST;36060;E970;VIIC84400R;VIMM84403X;IC LUSIANA  POZZA;SMS CROSARA/MAROSTICA;Non Disponibile;MAROSTICA;SCUOLA PRIMO GRADO;NO;Non Disponibile;VIIC84400R@istruzione.it;Non Disponibile;VIA SISEMOL, 110;VICENZA;VENETO;www.iclusiana.gov.it; 1.16087437E7;4,58E+15
201516;NORD EST;45036;D568;ROIC823007;ROEE823019;IC STIENTA;CARDUCCI GIOSUE' - FICAROLO;Non Disponibile;FICAROLO;SCUOLA PRIMARIA;NO;Non Disponibile;ROIC823007@istruzione.it;Non Disponibile;VIA CIRCONVALLAZIONE GIGLIOLI N. 71/A;ROVIGO;VENETO;www.icstienta.it; 1.14352979E7;4,50E+15
201516;NORD EST;30131;L736;VEEE01000C;VEEE01000C;MARCO FOSCARINI (ANN.CONVITTO);MARCO FOSCARINI (ANN.CONVITTO);CONVITTO NAZIONALE;VENEZIA;SCUOLA PRIMARIA;NO;Non Disponibile;VEEE01000C@istruzione.it;Non Disponibile;SESTIERE DI CANNAREGIO N. 4941;VENEZIA;VENETO;Non Disponibile; 1.2326393E7;4,54E+15
201516;NORD EST;30020;G981;VEIC825004;VEMM825026;IPPOLITO NIEVO;MARCO POLO;Non Disponibile;PRAMAGGIORE;SCUOLA PRIMO GRADO;NO;Non Disponibile;VEIC825004@istruzione.it;Non Disponibile;VIA LEOPARDI, 60;VENEZIA;VENETO;www.icnievocinto.gov.it; 1.2729047E7;4,58E+22
201516;NORD EST;37057;H924;VRIC8AC00D;VRMM8AC01E;IC 01  SAN GIOVANNI LUPATOTO;S.GIOV. LUPATOTO L. DA VINCI;Non Disponibile;SAN GIOVANNI LUPATOTO;SCUOLA PRIMO GRADO;NO;Non Disponibile;VRIC8AC00D@istruzione.it;Non Disponibile;VIA CA' DEI SORDI, 16;VERONA;VENETO;IC1SGL.IT; 1.1040028999999998E7;4,54E+22
201516;NORD EST;37036;I003;VRIC84000T;VREE840032;IC S.MARTINO B.A.;S.MARTINO B.A.SALVATORE TODARO;Non Disponibile;SAN MARTINO BUON ALBERGO;SCUOLA PRIMARIA;NO;Non Disponibile;VRIC84000T@istruzione.it;Non Disponibile;VIA SERENA;VERONA;VENETO;http://nuke.icsanmartinoscuole.it/; 1.1083934799999999E7;4,54E+23
201516;NORD EST;36026;G776;VIIC814001;VIEE814046;IC A. PALLADIO - POIANA;SUOR OLGA GUGELMO -POJANA M.-;Non Disponibile;POIANA MAGGIORE;SCUOLA PRIMARIA;NO;Non Disponibile;VIIC814001@istruzione.it;Non Disponibile;VIA CALDUMARE;VICENZA;VENETO;icspojana.gov.it; 1.1505421499999998E7;4,53E+23
201516;NORD EST;37017;E502;VRIC83400E;VRMM83402L;IC BARDOLINO;LAZISE - NAZARIO SAURO;Non Disponibile;LAZISE;SCUOLA PRIMO GRADO;NO;Non Disponibile;VRIC83400E@istruzione.it;Non Disponibile;LOC.  LA PEZZA;VERONA;VENETO;icbardolino.gov.it; 1.09109751E7;4,56E+15
201516;NORD EST;37022;D818;VRIC83200V;VRAA83201Q;IC FUMANE - LORENZI B.;TORRE INCANTATA - FUMANE;Non Disponibile;FUMANE;SCUOLA INFANZIA;NO;Non Disponibile;VRIC83200V@istruzione.it;Non Disponibile;VIA CASETTA,  2;VERONA;VENETO;www.fumanescuola.it; 1.08886046E7;4,55E+14
201516;NORD EST;36073;D020;VIIC82400G;VIAA82401C;IC CORNEDO CROSARA;IC CORNEDO - MUZZOLON;Non Disponibile;CORNEDO VICENTINO;SCUOLA INFANZIA;NO;Non Disponibile;VIIC82400G@istruzione.it;Non Disponibile;PIAZZA S. MARCO;VICENZA;VENETO;www.iccrosaracornedo.gov.it; 1.13282692E7;4,56E+23
201516;NORD EST;30174;L736;VEIC875005;VEIC875005;I.C.  L.SPALLANZANI;I.C.  L.SPALLANZANI;Non Disponibile;VENEZIA;ISTITUTO COMPRENSIVO;SI;Non Disponibile;VEIC875005@istruzione.it;VEIC875005@pec.istruzione.it;VIA CIMA D'ASTA, 8;VENEZIA;VENETO;Non Disponibile; 1.22648141E7;4,55E+15
201516;NORD EST;30173;L736;VEIS018005;VETN018019; ANDREA GRITTI ;ANDREA GRITTI;Non Disponibile;VENEZIA;ISTITUTO TECNICO PER IL TURISMO;NO;Non Disponibile;VEIS018005@istruzione.it;Non Disponibile;VIA LUDOVICO ANTONIO MURATORI 7;VENEZIA;VENETO;www.istitutogritti.it; 1.22685051E7;4,55E+22
201516;NORD OVEST;27020;H885;PVIC80400C;PVAA80404C;A. MASSAZZA - MEDE;SAN GIORGIO DI LOMELLINA;Non Disponibile;SAN GIORGIO DI LOMELLINA;SCUOLA INFANZIA;NO;Non Disponibile;PVIC80400C@istruzione.it;Non Disponibile;VIA VITTORIO VENETO 4;PAVIA;LOMBARDIA;www.icmede.gov.it; 8950197.899999999;4,52E+23
201516;NORD EST;37124;L781;VRIC87500R;VRMM87501T;IC VR 02 SAVAL-PARONA;VR N.2 - PARONA;Non Disponibile;VERONA;SCUOLA PRIMO GRADO;NO;Non Disponibile;VRIC87500R@istruzione.it;Non Disponibile;LARGO STAZIONE VECCHIA,18;VERONA;VENETO;www.comprensivovr02.gov.it; 1.094647E7;4,55E+22
201516;NORD EST;37049;L912;VRIC84600R;VRIC84600R;IC VILLA BARTOLOMEA;IC VILLA BARTOLOMEA;Non Disponibile;VILLA BARTOLOMEA;ISTITUTO COMPRENSIVO;SI;Non Disponibile;VRIC84600R@istruzione.it;vric84600r@pec.istruzione.it;CORSO FRACCAROLI, 58;VERONA;VENETO;Non Disponibile; 1.13547035E7;4,52E+15
201516;NORD EST;36100;L840;VIMM141007;VIMM706016;CPIA DI VICENZA;CASA CIRCONDARIALE C/O IC.BAROLINI;SPEC. PER CARCERARI;VICENZA;SCUOLA PRIMO GRADO;NO;Non Disponibile;VIMM141007@istruzione.it;Non Disponibile;VIA DALLA SCOLA   150;VICENZA;VENETO;www.ic4barolini.it; 1.15765991E7;4,56E+15
201516;NORD EST;36072;C605;VIIC87800X;VIEE878012;IC A.FAEDO  CHIAMPO;CD CHIAMPO  - CAP.;Non Disponibile;CHIAMPO;SCUOLA PRIMARIA;NO;Non Disponibile;VIIC87800X@istruzione.it;Non Disponibile;VIA T. DAL MOLIN, N.42;VICENZA;VENETO;www.icchiampo.gov.it; 1.1279755E7;4,55E+22
201516;NORD EST;30010;B554;VEIC820001;VEIC820001;ANTONIO GRAMSCI;ANTONIO GRAMSCI;Non Disponibile;CAMPONOGARA;ISTITUTO COMPRENSIVO;SI;Non Disponibile;VEIC820001@istruzione.it;veic820001@pec.istruzione.it;VIA MATTEOTTI N. 51;VENEZIA;VENETO;Non Disponibile; 1.20762197E7;4,54E+15
