ANNOSCOLASTICO;AREAGEOGRAFICA;CAPSCUOLA;CODICECOMUNESCUOLA;CODICEISTITUTORIFERIMENTO;CODICESCUOLA;DENOMINAZIONEISTITUTORIFERIMENTO;DENOMINAZIONESCUOLA;DESCRIZIONECARATTERISTICASCUOLA;DESCRIZIONECOMUNE;DESCRIZIONETIPOLOGIAGRADOISTRUZIONESCUOLA;INDICAZIONESEDEDIRETTIVO;INDICAZIONESEDEOMNICOMPRENSIVO;INDIRIZZOEMAILSCUOLA;INDIRIZZOPECSCUOLA;INDIRIZZOSCUOLA;PROVINCIA;REGIONE;SITOWEBSCUOLA;LONGITUDINE;LATITUDINE
201516;NORD EST;31015;C957;TVIC867006;TVEE867029;IC CONEGLIANO 2 GB CIMA;G. MAZZINI;Non Disponibile;CONEGLIANO;SCUOLA PRIMARIA;NO;Non Disponibile;TVIC867006@istruzione.it;Non Disponibile;VIA T. VECELLIO 13/15;TREVISO;VENETO;www.icconegliano2cima.gov.it;12,3021630;45,892625
201516;NORD OVEST;15023;D528;ALIC81800Q;ALEE81801T;FELIZZANO G. PASCOLI;G. PASCOLI FELIZZANO;Non Disponibile;FELIZZANO;SCUOLA PRIMARIA;NO;Non Disponibile;ALIC81800Q@istruzione.it;Non Disponibile;VIA VITTORIO VENETO 50;ALESSANDRIA;PIEMONTE;www.icpascoli-felizzano.gov.it ?;8,4412539;44,8989614
201516;NORD EST;37055;H540;VRIC816001;VRIC816001;IC RONCO ALL'ADIGE;IC RONCO ALL'ADIGE;Non Disponibile;RONCO ALL'ADIGE;ISTITUTO COMPRENSIVO;SI;Non Disponibile;VRIC816001@istruzione.it;vric816001@pec.istruzione.it;VIALE      VITTORIO VENETO     19;VERONA;VENETO;Non Disponibile;11,2595300;45,31823
201516;NORD EST;37020;D420;VRIC815005;VRMM815027;IC GREZZANA;ERBEZZO;Non Disponibile;ERBEZZO;SCUOLA PRIMO GRADO;NO;Non Disponibile;VRIC815005@istruzione.it;Non Disponibile;VIA  SPROK, 38;VERONA;VENETO;www.grezzanascuole.gov.it;-89,4670379;43,0189676
201516;NORD EST;35030;H625;PDIC85100E;PDEE85103P;IST. COMPR. RUBANO - BUONARROTI;RUBANO-VILLAGUATTERA-AGAZZI;Non Disponibile;RUBANO;SCUOLA PRIMARIA;NO;Non Disponibile;PDIC85100E@istruzione.it;Non Disponibile;VIA BOSCHETTA, 2;PADOVA;VENETO;www.icrubano.it;11,8150070;45,444639
201516;NORD EST;30024;F826;VEIC82600X;VEEE826034;ENRICO TOTI;EDMONDO DE AMICIS;Non Disponibile;MUSILE DI PIAVE;SCUOLA PRIMARIA;NO;Non Disponibile;VEIC82600X@istruzione.it;Non Disponibile;PIAZZA 18 GIUGNO 2;VENEZIA;VENETO;www.ictoti.gov.it;12,5631000;45,62259
201516;NORD EST;30035;F241;VEIC85600Q;VEEE85603X;I.C. GIOVANNI GABRIELI;ALESSANDRO MANZONI-BALLO';Non Disponibile;MIRANO;SCUOLA PRIMARIA;NO;Non Disponibile;VEIC85600Q@istruzione.it;Non Disponibile;VIA E. TOTI, 1;VENEZIA;VENETO;www.icgabrielimirano.gov.it;12,0716927;45,4589059
201516;NORD EST;35020;F011;PDIC85600N;PDEE85602R;IST.COMPR. MASERA' - PERLASCA;CA' MURA' - BERTIPAGLIA;Non Disponibile;MASERA' DI PADOVA;SCUOLA PRIMARIA;NO;Non Disponibile;PDIC85600N@istruzione.it;Non Disponibile;VIA CA' MURA';PADOVA;VENETO;icsmasera.it;11,8839934;45,307209
201516;NORD EST;31020;I382;TVIC847001;TVEE847013;IC SAN VENDEMIANO;S. FRANCESCO;Non Disponibile;SAN VENDEMIANO;SCUOLA PRIMARIA;NO;Non Disponibile;TVIC847001@istruzione.it;Non Disponibile;VIALE A. DE GASPERI;TREVISO;VENETO;www.icsanvendemiano.gov.it;12,2723584;45,9107224
201516;NORD EST;37060;F789;VRIC895002;VREE895025;IC MOZZECANE;MOZZECANE;Non Disponibile;MOZZECANE;SCUOLA PRIMARIA;NO;Non Disponibile;VRIC895002@istruzione.it;Non Disponibile;VIA G. FERRONI;VERONA;VENETO;www.icmozzecane.gov.it;10,8166996;45,3058736
