CAPSCUOLA;CODICEISTITUTORIFERIMENTO;CODICESCUOLA;DENOMINAZIONEISTITUTORIFERIMENTO;DENOMINAZIONESCUOLA;DESCRIZIONECOMUNE;DESCRIZIONETIPOLOGIAGRADOISTRUZIONESCUOLA;INDIRIZZOEMAILSCUOLA;INDIRIZZOSCUOLA;PROVINCIA;REGIONE;SITOWEBSCUOLA; LONGITUDINE; LATITUDINE
31015;TVIC867006;TVEE867029;IC CONEGLIANO 2 GB CIMA;G. MAZZINI;CONEGLIANO;SCUOLA PRIMARIA;TVIC867006@istruzione.it;VIA T. VECELLIO 13/15;TREVISO;VENETO;www.icconegliano2cima.gov.it;12.302163;45.892625
37055;VRIC816001;VRIC816001;IC RONCO ALL'ADIGE;IC RONCO ALL'ADIGE;RONCO ALL'ADIGE;ISTITUTO COMPRENSIVO;VRIC816001@istruzione.it;VIALE      VITTORIO VENETO     19;VERONA;VENETO;Non Disponibile;11.25953;45.31823
37020;VRIC815005;VRMM815027;IC GREZZANA;ERBEZZO;ERBEZZO;SCUOLA PRIMO GRADO;VRIC815005@istruzione.it;VIALE RIMEMBRANZA 24;VERONA;VENETO;www.grezzanascuole.gov.it;11.015552;45.518215
35030;PDIC85100E;PDEE85103P;IST. COMPR. RUBANO - BUONARROTI;RUBANO-VILLAGUATTERA-AGAZZI;RUBANO;SCUOLA PRIMARIA;PDIC85100E@istruzione.it;VIA BOSCHETTA 2;PADOVA;VENETO;www.icrubano.it;11.815007;45.444639
30024;VEIC82600X;VEEE826034;ENRICO TOTI;EDMONDO DE AMICIS;MUSILE DI PIAVE;SCUOLA PRIMARIA;VEIC82600X@istruzione.it;PIAZZA 18 GIUGNO 2;VENEZIA;VENETO;www.ictoti.gov.it;12.5631;45.62259
30035;VEIC85600Q;VEEE85603X;I.C. GIOVANNI GABRIELI;ALESSANDRO MANZONI-BALLO';MIRANO;SCUOLA PRIMARIA;VEIC85600Q@istruzione.it;VIA E. TOTI 1;VENEZIA;VENETO;www.icgabrielimirano.gov.it;12.0716927;45.4589059
35020;PDIC85600N;PDEE85602R;IST.COMPR. MASERA' - PERLASCA;CA' MURA' - BERTIPAGLIA;MASERA' DI PADOVA;SCUOLA PRIMARIA;PDIC85600N@istruzione.it;VIA CA' MURA';PADOVA;VENETO;icsmasera.it;11.8839934;45.307209
31020;TVIC847001;TVEE847013;IC SAN VENDEMIANO;S. FRANCESCO;SAN VENDEMIANO;SCUOLA PRIMARIA;TVIC847001@istruzione.it;VIALE A. DE GASPERI;TREVISO;VENETO;www.icsanvendemiano.gov.it;12.2723584;45.9107224
37060;VRIC895002;VREE895025;IC MOZZECANE;MOZZECANE;MOZZECANE;SCUOLA PRIMARIA;VRIC895002@istruzione.it;VIA G. FERRONI;VERONA;VENETO;www.icmozzecane.gov.it;10.8166996;45.3058736
36060;VIIC84400R;VIMM84403X;IC LUSIANA  POZZA;SMS CROSARA/MAROSTICA;MAROSTICA;SCUOLA PRIMO GRADO;VIIC84400R@istruzione.it;VIA SISEMOL 110;VICENZA;VENETO;www.iclusiana.gov.it;11.6087437;45.7749832
